Complexity|MSE|Equation
1|0.90133625|-1.1667668
2|0.7444817|log_abs(x0)
3|0.06829232|(-1.1867546 + x16)
5|0.05768019|(-1.1847389 + (0.89915514 * x16))
7|0.04652493|(-1.1494635 + (x16 * pow(0.9540341, x33)))
12|0.046178196|(x31 + (-1.0280963 * pow(x33 + sqrt_abs(-2.3268037 + x2), 0.3807227)))
16|0.045171246|(x31 + (-1.0 * pow(x11 + sqrt_abs(-3.261198 + (x2 + log10_abs(exp(x10)))), 0.32850295)))
17|0.044781804|(x31 - pow(sqrt_abs((log10_abs(log_abs(x25) - exp(x12)) + -2.8473449) + x2) + x33, 0.39161903))
18|0.042968497|(x31 - pow(sqrt_abs((log10_abs((x17 * 0.21377762) - exp(x25)) + -2.5903165) + x2) + x11, 0.39789605))
