Complexity|MSE|Equation
1|0.9550133|-1.11952
3|0.26876|(x16 + -11.258987)
5|0.042351883|((-215.56142 / x16) + 20.185036)
7|0.03983446|(((x10 + -215.91585) / x16) + 20.172014)
8|0.039377328|(((exp(x10) + -216.98781) / x16) + 20.154886)
9|0.039175168|((((x10 * x34) + -215.93442) / x16) + 20.171585)
10|0.039015062|((((exp(x10) * x25) + -216.98433) / x16) + 20.185144)
11|0.038224712|(((pow(x10 * x34, x34) + -215.93442) / x16) + 20.171585)
