case,targets,n_epochs,batch_size,l1_lambda,l2_lambda,loss_func,hidden_channels,conv_layers,conv_activation,decode_activation,decode_layers,learning_rate,schedule,g_up,g_down,N_params,N_trainable,scatter,lowest,epoch_exit,last20,last10
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,4.0,leakyrelu,leakyrelu,3.0,0.003,warmup_exp,1.3,0.98,345346.0,345346.0,0.9294368624687195,0.9294235706329346,27.0,0.9294522404670715,0.9294578433036804
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,4.0,leakyrelu,leakyrelu,2.0,0.003,constant,1.3,0.98,336770.0,336770.0,0.10098480433225632,0.09957901388406754,261.0,0.10118656605482101,0.10098712891340256
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,L2,64.0,3.0,leakyrelu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,257409.0,257409.0,0.10773656517267227,0.1077280044555664,303.0,0.1077667623758316,0.10774554312229156
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,1.0,0.003,constant,1.3,0.98,253314.0,253314.0,0.8438796401023865,0.7331556677818298,57.0,0.7840700149536133,0.7944270968437195
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,2.0,leakyrelu,leakyrelu,2.0,0.003,constant,1.3,0.98,187010.0,187010.0,0.1219814196228981,0.12011759728193283,113.0,0.12504321336746216,0.12272698432207108
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,2.0,0.003,constant,1.3,0.98,261890.0,261890.0,0.11384838819503784,0.10671159625053406,139.0,0.1168966293334961,0.11649955809116364
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,3.0,0.003,constant,1.3,0.98,270466.0,270466.0,0.15829500555992126,0.09962470084428787,171.0,0.17533574998378754,0.16428391635417938
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,2.0,0.003,warmup_exp,1.3,0.98,261890.0,261890.0,0.9293724894523621,0.9293379783630371,25.0,0.9293895959854126,0.9293808937072754
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,4.0,leakyrelu,leakyrelu,1.0,0.001,warmup_exp,1.3,0.98,328194.0,328194.0,0.7229594588279724,0.7202655076980591,65.0,0.7405716180801392,0.7409406304359436
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,2.0,leakyrelu,leakyrelu,2.0,0.003,warmup_exp,1.3,0.98,187010.0,187010.0,0.4312966465950012,0.4016573131084442,81.0,0.44202202558517456,0.43135038018226624
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,2.0,0.001,constant,1.3,0.98,261890.0,261890.0,0.9294465184211731,0.929226815700531,23.0,0.9294472932815552,0.9294691681861877
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,4.0,leakyrelu,leakyrelu,3.0,0.001,warmup_exp,1.3,0.98,345346.0,345346.0,0.10566104203462601,0.1038440465927124,179.0,0.10463693737983704,0.10459242016077042
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,2.0,leakyrelu,leakyrelu,1.0,0.001,constant,1.3,0.98,178434.0,178434.0,0.4121096730232239,0.35181498527526855,147.0,0.4708298444747925,0.4395359754562378
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,2.0,leakyrelu,leakyrelu,1.0,0.003,warmup_exp,1.3,0.98,178434.0,178434.0,0.4129299223423004,0.4106667935848236,57.0,0.44094789028167725,0.4361950755119324
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,1.0,0.003,constant,1.3,0.98,253314.0,253314.0,0.7217192649841309,0.6873425841331482,49.0,0.7465963363647461,0.7392111420631409
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,L2,64.0,4.0,leakyrelu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,332289.0,332289.0,0.11795129626989365,0.11301100999116898,131.0,0.11585234105587006,0.11698079854249954
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,2.0,leakyrelu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,187010.0,187010.0,0.9294387698173523,0.9294185638427734,43.0,0.9294601678848267,0.9294606447219849
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,4.0,leakyrelu,leakyrelu,3.0,0.003,constant,1.3,0.98,345346.0,345346.0,0.11199452728033066,0.1040281280875206,115.0,0.11395743489265442,0.11309544742107391
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,L2,64.0,3.0,leakyrelu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,257409.0,257409.0,0.1068672388792038,0.1067858338356018,339.0,0.10687966644763947,0.10686968266963959
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,2.0,0.003,constant,1.3,0.98,261890.0,261890.0,0.9294627904891968,0.9294278621673584,23.0,0.9294927716255188,0.9294923543930054
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,L2,64.0,4.0,leakyrelu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,332289.0,332289.0,0.11414371430873871,0.11365870386362076,187.0,0.11441860347986221,0.11460614204406738
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,3.0,0.001,warmup_exp,1.3,0.98,270466.0,270466.0,0.10460346937179565,0.10304652154445648,237.0,0.10374768823385239,0.10376857221126556
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,1.0,0.003,warmup_exp,1.3,0.98,253314.0,253314.0,0.4482823312282562,0.4469411373138428,43.0,0.472773015499115,0.4702281653881073
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,2.0,leakyrelu,leakyrelu,1.0,0.001,constant,1.3,0.98,178434.0,178434.0,0.4770815968513489,0.3933279812335968,173.0,0.5021171569824219,0.47709256410598755
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,L2,64.0,3.0,leakyrelu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,257409.0,257409.0,0.10340598225593567,0.10308767110109329,273.0,0.10333104431629181,0.10331955552101135
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,2.0,leakyrelu,leakyrelu,3.0,0.003,warmup_exp,1.3,0.98,195586.0,195586.0,0.13587385416030884,0.12448296695947647,75.0,0.15629181265830994,0.1376294046640396
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,4.0,leakyrelu,leakyrelu,3.0,0.001,constant,1.3,0.98,345346.0,345346.0,0.9294593334197998,0.9293879270553589,23.0,0.9294884204864502,0.9294850826263428
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,4.0,leakyrelu,leakyrelu,2.0,0.003,constant,1.3,0.98,336770.0,336770.0,0.9294072985649109,0.9294262528419495,51.0,0.9294295310974121,0.9294288754463196
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,261890.0,261890.0,0.10612707585096359,0.10587979108095169,349.0,0.10609298199415207,0.1060735359787941
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,3.0,0.003,warmup_exp,1.3,0.98,270466.0,270466.0,0.20911425352096558,0.16914324462413788,31.0,0.26493358612060547,0.22816269099712372
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,2.0,leakyrelu,leakyrelu,1.0,0.001,warmup_exp,1.3,0.98,178434.0,178434.0,0.35194483399391174,0.34220248460769653,121.0,0.3602117896080017,0.3519529104232788
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,L2,64.0,4.0,leakyrelu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,332289.0,332289.0,0.10486234724521637,0.10434342175722122,225.0,0.10466118901968002,0.10477250069379807
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,2.0,0.001,constant,1.3,0.98,261890.0,261890.0,0.9283576607704163,0.9277680516242981,41.0,0.9294366240501404,0.9291208386421204
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,2.0,leakyrelu,leakyrelu,2.0,0.001,constant,1.3,0.98,187010.0,187010.0,0.140730082988739,0.12023384124040604,159.0,0.1359054148197174,0.14073331654071808
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,L2,64.0,3.0,leakyrelu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,257409.0,257409.0,0.11191482841968536,0.11052179336547852,119.0,0.11226359754800797,0.11199091374874115
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,4.0,leakyrelu,leakyrelu,2.0,0.001,constant,1.3,0.98,158530.0,158530.0,0.9294781684875488,0.929419994354248,23.0,0.9295110702514648,0.929503858089447
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,3.0,0.003,constant,1.3,0.98,133570.0,133570.0,0.11406100541353226,0.10137786716222763,261.0,0.10566738247871399,0.10595468431711197
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,2.0,0.003,warmup_exp,1.3,0.98,124994.0,124994.0,0.12025409936904907,0.120032899081707,367.0,0.12020735442638397,0.12022390216588974
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,1.0,0.001,warmup_exp,1.3,0.98,116418.0,116418.0,0.9293932318687439,0.9294003248214722,31.0,0.9294227957725525,0.9294194579124451
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,2.0,leakyrelu,leakyrelu,3.0,0.003,constant,1.3,0.98,100034.0,100034.0,0.1292884349822998,0.11734472960233688,123.0,0.11902037262916565,0.1191098541021347
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,2.0,leakyrelu,leakyrelu,2.0,0.001,constant,1.3,0.98,91458.0,91458.0,0.9294276833534241,0.9293897747993469,25.0,0.929466724395752,0.9294648170471191
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,124994.0,124994.0,0.11634527146816254,0.11539461463689804,145.0,0.11659950017929077,0.11644703149795532
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,124994.0,124994.0,0.9294288158416748,0.9290040135383606,23.0,0.9294567108154297,0.9294506311416626
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,4.0,leakyrelu,leakyrelu,1.0,0.003,constant,1.3,0.98,149954.0,149954.0,0.44072866439819336,0.409082293510437,223.0,0.4422820210456848,0.4404888451099396
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,2.0,leakyrelu,leakyrelu,1.0,0.003,constant,1.3,0.98,82882.0,82882.0,0.6102984547615051,0.44253337383270264,83.0,0.7177411913871765,0.6244406700134277
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,3.0,0.003,constant,1.3,0.98,133570.0,133570.0,0.9294378757476807,0.9294329881668091,23.0,0.9294543862342834,0.929458737373352
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,3.0,0.001,constant,1.3,0.98,133570.0,133570.0,0.9294382333755493,0.9294338226318359,23.0,0.9294604659080505,0.9294605851173401
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,L2,64.0,3.0,leakyrelu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,120513.0,120513.0,0.11002257466316223,0.10876131057739258,165.0,0.10963894426822662,0.11002511531114578
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,4.0,leakyrelu,leakyrelu,3.0,0.001,warmup_exp,1.3,0.98,167106.0,167106.0,0.11630729585886002,0.11428653448820114,175.0,0.11641611903905869,0.11630994826555252
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,3.0,0.001,constant,1.3,0.98,133570.0,133570.0,0.9293749928474426,0.9292431473731995,25.0,0.9293522238731384,0.9293628931045532
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,2.0,0.001,constant,1.3,0.98,124994.0,124994.0,0.9294395446777344,0.9294477701187134,25.0,0.9294609427452087,0.9294609427452087
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,1.0,0.003,constant,1.3,0.98,116418.0,116418.0,0.46825292706489563,0.3820011615753174,103.0,0.5735698938369751,0.4972241222858429
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,2.0,leakyrelu,leakyrelu,1.0,0.003,warmup_exp,1.3,0.98,82882.0,82882.0,0.3869059681892395,0.3674602806568146,125.0,0.38444283604621887,0.38482773303985596
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,124994.0,124994.0,0.11372897773981094,0.11372373253107071,373.0,0.11374668776988983,0.11374462395906448
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,2.0,leakyrelu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,91458.0,91458.0,0.9294503927230835,0.9294008612632751,27.0,0.9294674396514893,0.9294718503952026
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,4.0,leakyrelu,leakyrelu,1.0,0.001,constant,1.3,0.98,149954.0,149954.0,0.9293491244316101,0.9293647408485413,23.0,0.9293898344039917,0.9293790459632874
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,3.0,0.001,warmup_exp,1.3,0.98,133570.0,133570.0,0.1199735701084137,0.1193883940577507,277.0,0.11985751241445541,0.11977601796388626
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,1.0,0.003,constant,1.3,0.98,116418.0,116418.0,0.9293673634529114,0.9292324185371399,23.0,0.9293880462646484,0.929388701915741
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,2.0,leakyrelu,leakyrelu,1.0,0.001,constant,1.3,0.98,82882.0,82882.0,0.3638695478439331,0.35429179668426514,191.0,0.3887917399406433,0.38892674446105957
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,4.0,leakyrelu,leakyrelu,1.0,0.001,constant,1.3,0.98,149954.0,149954.0,0.41051942110061646,0.39317038655281067,241.0,0.43915122747421265,0.4184330701828003
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,4.0,leakyrelu,leakyrelu,1.0,0.001,warmup_exp,1.3,0.98,149954.0,149954.0,0.1949377804994583,0.1948103904724121,499.0,0.19494116306304932,0.19486093521118164
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,3.0,0.003,warmup_exp,1.3,0.98,133570.0,133570.0,0.1082313135266304,0.10694002360105515,205.0,0.10808338224887848,0.10833490639925003
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,4.0,leakyrelu,leakyrelu,1.0,0.003,warmup_exp,1.3,0.98,149954.0,149954.0,0.8555139899253845,0.7080546021461487,71.0,0.7703770399093628,0.8023974895477295
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,2.0,leakyrelu,leakyrelu,3.0,0.001,warmup_exp,1.3,0.98,100034.0,100034.0,0.12274332344532013,0.1226927638053894,209.0,0.1233292818069458,0.12336032092571259
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,32.0,2.0,leakyrelu,leakyrelu,2.0,0.003,warmup_expcos,1.3,0.98,168642.0,168642.0,0.9294335842132568,0.9294548630714417,45.0,0.9294596314430237,0.9294594526290894
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,32.0,3.0,leakyrelu,leakyrelu,3.0,0.003,warmup_expcos,1.3,0.98,241922.0,241922.0,0.19894109666347504,0.09761887043714523,279.0,0.19380027055740356,0.18820799887180328
