case,targets,n_epochs,batch_size,l1_lambda,l2_lambda,loss_func,hidden_channels,conv_layers,conv_activation,decode_activation,decode_layers,learning_rate,schedule,g_up,g_down,N_params,N_trainable,scatter,lowest,epoch_exit,last20,last10
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,64.0,4.0,leakyrelu,leakyrelu,2.0,0.001,warmup_expcos,1.3,0.98,469378.0,469378.0,0.9285570979118347,0.9159925580024719,47.0,0.9289331436157227,0.9291585683822632
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,2.0,0.001,warmup_expcos,1.3,0.98,361346.0,361346.0,0.92922043800354,0.9292294383049011,27.0,0.9292550086975098,0.9292550086975098
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,32.0,3.0,leakyrelu,leakyrelu,3.0,0.003,warmup_expcos,1.3,0.98,241922.0,241922.0,0.9294349551200867,0.9263087511062622,23.0,0.9294608235359192,0.9294620156288147
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,L2,64.0,3.0,leakyrelu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,356865.0,356865.0,0.10012970864772797,0.09966346621513367,159.0,0.10066285729408264,0.10052458196878433
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,64.0,4.0,leakyrelu,leakyrelu,3.0,0.001,warmup_expcos,1.3,0.98,477954.0,477954.0,0.7456364631652832,0.7032110095024109,103.0,0.7316197156906128,0.7318919897079468
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,2.0,leakyrelu,leakyrelu,3.0,0.003,warmup_exp,1.3,0.98,261890.0,261890.0,0.09699998795986176,0.09692221134901047,367.0,0.09702365845441818,0.09696511924266815
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,2.0,0.001,warmup_expcos,1.3,0.98,361346.0,361346.0,0.12431825697422028,0.1194654256105423,287.0,0.12439251691102982,0.1243211105465889
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,64.0,2.0,leakyrelu,leakyrelu,2.0,0.001,warmup_expcos,1.3,0.98,253314.0,253314.0,0.12290475517511368,0.11373952031135559,305.0,0.11599701642990112,0.11613515019416809
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,32.0,3.0,leakyrelu,leakyrelu,3.0,0.001,warmup_expcos,1.3,0.98,241922.0,241922.0,0.9294366240501404,0.9294517040252686,27.0,0.9294559955596924,0.9294580817222595
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,L2,64.0,3.0,leakyrelu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,356865.0,356865.0,0.1107371598482132,0.11011913418769836,107.0,0.11185243725776672,0.11119194328784943
