case,scatter,lowest,epoch_exit,last20,last10
vlarge_4t_quantile_raw_redshift_50_all,0.08804703503847122,0.08727806806564331,87.0,0.08837658166885376,0.08844569325447083
vlarge_4t_quantile_raw_redshift_50_all,0.09051623940467834,0.08961597084999084,147.0,0.09016255289316177,0.09023932367563248
vlarge_4t_quantile_raw_redshift_50_all,0.09116790443658829,0.08861856162548065,133.0,0.09077301621437073,0.0910300686955452
vlarge_4t_quantile_raw_redshift_50_all,0.09158772230148315,0.09087585657835007,123.0,0.09164094924926758,0.09158984571695328
vlarge_4t_quantile_raw_redshift_50_all,0.09140439331531525,0.0904250368475914,153.0,0.09124454855918884,0.09101270884275436
vlarge_4t_quantile_raw_redshift_50_all,0.08993247151374817,0.0889197587966919,137.0,0.0909896045923233,0.09071651101112366
vlarge_4t_quantile_raw_redshift_50_all,0.09247944504022598,0.09194545447826385,129.0,0.0927024558186531,0.09251909703016281
vlarge_4t_quantile_raw_redshift_50_all,0.177199125289917,0.09408295899629593,113.0,0.1830034852027893,0.22772027552127838
vlarge_4t_quantile_raw_redshift_50_all,0.09451601654291153,0.09225650131702423,71.0,0.0955759584903717,0.09593980014324188
vlarge_4t_quantile_raw_redshift_75_all,0.09798797965049744,0.09549441188573837,121.0,0.09797544777393341,0.09799022972583771
vlarge_4t_quantile_raw_redshift_75_all,0.10001334547996521,0.09658721089363098,103.0,0.09865732491016388,0.09798120707273483
vlarge_4t_quantile_raw_redshift_75_all,0.09758735448122025,0.09700452536344528,141.0,0.09804701805114746,0.09809527546167374
vlarge_4t_quantile_raw_redshift_75_all,0.10118330270051956,0.09976264089345932,127.0,0.10054566711187363,0.10031814873218536
vlarge_4t_quantile_raw_redshift_75_all,0.09843267500400543,0.0982975885272026,77.0,0.0993259847164154,0.09898975491523743
vlarge_4t_quantile_raw_redshift_75_all,0.10279002785682678,0.09935058653354645,79.0,0.10220934450626373,0.10206402093172073
vlarge_4t_quantile_raw_redshift_75_all,0.10739006847143173,0.09855254739522934,113.0,0.10634081065654755,0.10246480256319046
vlarge_4t_quantile_raw_redshift_75_all,0.10069306939840317,0.10006298124790192,159.0,0.10103517025709152,0.10081799328327179
vlarge_4t_quantile_raw_redshift_75_all,0.10074865072965622,0.10008610039949417,161.0,0.1004537045955658,0.10075096040964127
vlarge_4t_quantile_raw_redshift_85_all,0.10848666727542877,0.10780245810747147,107.0,0.10909439623355865,0.10883280634880066
vlarge_4t_quantile_raw_redshift_85_all,0.10477113723754883,0.1026635468006134,131.0,0.10411474108695984,0.1037701740860939
vlarge_4t_quantile_raw_redshift_85_all,0.10979871451854706,0.10871239751577377,93.0,0.11008429527282715,0.10980124026536942
vlarge_4t_quantile_raw_redshift_85_all,0.10607891529798508,0.10524742305278778,111.0,0.10686877369880676,0.10643632709980011
vlarge_4t_quantile_raw_redshift_85_all,0.1093359887599945,0.10885971039533615,95.0,0.10938432812690735,0.10933849215507507
vlarge_4t_quantile_raw_redshift_85_all,0.10423852503299713,0.10375434160232544,91.0,0.10472097992897034,0.10424092411994934
vlarge_4t_quantile_raw_redshift_85_all,0.10427962243556976,0.10371473431587219,103.0,0.10462558269500732,0.10436315834522247
vlarge_4t_quantile_raw_redshift_85_all,0.10637639462947845,0.10601940751075745,109.0,0.10642965137958527,0.10637883841991425
vlarge_4t_quantile_raw_redshift_85_all,0.11281546205282211,0.10671869665384293,85.0,0.11223049461841583,0.11192511767148972
vlarge_4t_quantile_raw_redshift_95_all,0.12103156745433807,0.11817076057195663,143.0,0.12013272941112518,0.12011352926492691
vlarge_4t_quantile_raw_redshift_95_all,0.12233178317546844,0.12097404152154922,93.0,0.12311586737632751,0.12301327288150787
vlarge_4t_quantile_raw_redshift_95_all,0.12369915843009949,0.11944517493247986,77.0,0.12371279299259186,0.1237235888838768
vlarge_4t_quantile_raw_redshift_95_all,0.19484728574752808,0.11957783997058868,89.0,0.3893684148788452,0.38934817910194397
vlarge_4t_quantile_raw_redshift_95_all,0.1171521469950676,0.11683596670627594,127.0,0.11767067760229111,0.1171954944729805
vlarge_4t_quantile_raw_redshift_95_all,0.12054981291294098,0.11777561902999878,99.0,0.12035149335861206,0.12055257707834244
vlarge_4t_quantile_raw_redshift_95_all,0.11815661191940308,0.11698222160339355,153.0,0.11795756220817566,0.1184547170996666
vlarge_4t_quantile_raw_redshift_95_all,0.12337421625852585,0.12039770931005478,63.0,0.12201930582523346,0.12163974344730377
vlarge_4t_quantile_raw_redshift_95_all,0.11911874264478683,0.11752752214670181,157.0,0.11902613937854767,0.1191214770078659
vlarge_4t_quantile_raw_redshift_99_all,0.13897940516471863,0.13367050886154175,85.0,0.13548171520233154,0.1366593986749649
vlarge_4t_quantile_raw_redshift_99_all,0.1335545927286148,0.1318436712026596,135.0,0.13326673209667206,0.1333954930305481
vlarge_4t_quantile_raw_redshift_99_all,0.13508667051792145,0.13289302587509155,109.0,0.13469761610031128,0.1346951127052307
vlarge_4t_quantile_raw_redshift_99_all,0.13990208506584167,0.13401803374290466,97.0,0.13851326704025269,0.1386648416519165
vlarge_4t_quantile_raw_redshift_99_all,0.13507679104804993,0.1333342343568802,105.0,0.13482289016246796,0.13507989048957825
vlarge_4t_quantile_raw_redshift_99_all,0.17530977725982666,0.14080357551574707,43.0,0.20342236757278442,0.1731521189212799
vlarge_4t_quantile_raw_redshift_99_all,0.1334836333990097,0.1317717581987381,75.0,0.135231614112854,0.13364547491073608
vlarge_4t_quantile_raw_redshift_99_all,0.1332617700099945,0.1315145641565323,113.0,0.13489647209644318,0.1348346322774887
vlarge_4t_quantile_raw_redshift_99_all,0.13336221873760223,0.13228604197502136,99.0,0.13500824570655823,0.1356949657201767
vlarge_all_4t_z0.0_quantile_raw,0.08976361900568008,0.0881725549697876,101.0,0.08964873850345612,0.08976568281650543
vlarge_all_4t_z0.0_quantile_raw,0.08927623927593231,0.08886577934026718,179.0,0.08919500559568405,0.08927828818559647
vlarge_all_4t_z0.0_quantile_raw,0.09441836178302765,0.0888737142086029,83.0,0.0903889611363411,0.08973579853773117
vlarge_all_4t_z0.0_quantile_raw,0.1587345004081726,0.0936904028058052,119.0,0.20418843626976013,0.16851602494716644
vlarge_all_4t_z0.0_quantile_raw,0.08562528342008591,0.08515658229589462,193.0,0.08556587249040604,0.0856272429227829
vlarge_all_4t_z0.0_quantile_raw,0.9294474124908447,0.9294084906578064,31.0,0.9294535517692566,0.9294582009315491
vlarge_all_4t_z0.0_quantile_raw,0.08566320687532425,0.08524412661790848,187.0,0.08569315075874329,0.08566517382860184
vlarge_all_4t_z0.0_quantile_raw,0.10158876329660416,0.0907009020447731,105.0,0.10697011649608612,0.10430580377578735
vlarge_all_4t_z0.0_quantile_raw,0.08979231119155884,0.08860112726688385,85.0,0.0913485586643219,0.09108433127403259
