case,epoch_exit,scatter_m_star,lowest_m_star,last20_m_star,last10_m_star
vlarge_4t_quantile_raw_redshift_50_all,245.0,0.09367658197879791,0.09078230708837509,0.09364216029644012,0.09367874264717102
vlarge_4t_quantile_raw_redshift_50_all,299.0,0.09312355518341064,0.09186012297868729,0.09312306344509125,0.09312417358160019
vlarge_4t_quantile_raw_redshift_50_all,79.0,0.35693928599357605,0.10565448552370071,0.21822525560855865,0.35805121064186096
vlarge_4t_quantile_raw_redshift_50_all,239.0,0.09271129965782166,0.08956927061080933,0.09295786917209625,0.09290017932653427
vlarge_4t_quantile_raw_redshift_50_all,71.0,0.10699524730443954,0.10398324579000473,0.12777934968471527,0.12311561405658722
vlarge_4t_quantile_raw_redshift_50_all,187.0,0.09360545873641968,0.08922452479600906,0.10022297501564026,0.09643112868070602
vlarge_4t_quantile_raw_redshift_50_all,61.0,0.11716795712709427,0.11564810574054718,0.13540056347846985,0.12486377358436584
vlarge_4t_quantile_raw_redshift_50_all,31.0,0.18619480729103088,0.13413840532302856,0.19728250801563263,0.18200969696044922
vlarge_4t_quantile_raw_redshift_50_all,279.0,0.09436462819576263,0.09031747281551361,0.09419135004281998,0.09418132156133652
vlarge_4t_quantile_raw_redshift_50_all,125.0,0.10122768580913544,0.09619980305433273,0.10006191581487656,0.10123001039028168
vlarge_4t_quantile_raw_redshift_50_all,221.0,0.08900441229343414,0.08742965757846832,0.08818668872117996,0.0886574536561966
vlarge_4t_quantile_raw_redshift_50_all,289.0,0.09946755319833755,0.09569863229990005,0.09943218529224396,0.09945107996463776
vlarge_4t_quantile_raw_redshift_50_all,271.0,0.09005552530288696,0.087734654545784,0.09006883203983307,0.09005758911371231
vlarge_4t_quantile_raw_redshift_50_all,299.0,0.0922318547964096,0.0920024886727333,0.09220904856920242,0.09222739189863205
vlarge_4t_quantile_raw_redshift_50_all,127.0,0.093915656208992,0.09028168022632599,0.09720154106616974,0.09577886015176773
vlarge_4t_quantile_raw_redshift_50_all,47.0,0.15763923525810242,0.11263178288936615,0.21893706917762756,0.16682326793670654
vlarge_4t_quantile_raw_redshift_50_all,253.0,0.08974911272525787,0.08845296502113342,0.08987563848495483,0.08993203192949295
vlarge_4t_quantile_raw_redshift_50_all,59.0,0.11309527605772018,0.10709527134895325,0.12124479562044144,0.11488822847604752
vlarge_4t_quantile_raw_redshift_50_all,289.0,0.0962214320898056,0.0916939303278923,0.09627625346183777,0.09625037014484406
vlarge_4t_quantile_raw_redshift_50_all,265.0,0.0949339047074318,0.09251102805137634,0.09561456739902496,0.09559984505176544
vlarge_4t_quantile_raw_redshift_75_all,69.0,0.40432605147361755,0.12083344906568527,0.35460883378982544,0.35369864106178284
vlarge_4t_quantile_raw_redshift_75_all,283.0,0.10269740968942642,0.10085755586624146,0.10257266461849213,0.10257548838853836
vlarge_4t_quantile_raw_redshift_75_all,171.0,0.10639075189828873,0.10244110226631165,0.10655060410499573,0.10639319568872452
